都道府県番号,都道府県枝番,予選地区名,年代順,年代,公立普通校校数,公立普通校校数が全体に占める割合,公立実業校校数,公立実業校校数が全体に占める割合,私立校校数,私立校校数が全体に占める割合,公私の画期,備考
1,0,北海道,Ⅰ,1948～1958,13,59.1 ,3,13.6 ,6,27.3 ,,
1,1,北北海道,Ⅱ,1959～1975,19,55.9 ,6,17.6 ,9,26.5 ,,
1,1,北北海道,Ⅲ,1976～1990,12,40.0 ,4,13.3 ,14,46.7 ,,
1,1,北北海道,Ⅳ,1991～2005,13,43.3 ,8,26.7 ,9,30.0 ,,
1,1,北北海道,Ⅴ,2006～2019,6,21.4 ,2,7.1 ,20,71.4 ,○,
1,1,北北海道,計,計,50,41.0 ,20,16.4 ,52,42.6 ,,
1,2,南北海道,Ⅱ,1959～1975,8,23.5 ,6,17.6 ,20,58.8 ,○,
1,2,南北海道,Ⅲ,1976～1990,5,16.7 ,1,3.3 ,24,80.0 ,,
1,2,南北海道,Ⅳ,1991～2005,4,13.3 ,2,6.7 ,24,80.0 ,,
1,2,南北海道,Ⅴ,2006～2019,1,3.6 ,2,7.1 ,25,89.3 ,,
1,2,南北海道,計,計,18,14.8 ,11,9.0 ,93,76.2 ,,
2,0,青森,Ⅰ,1948～1960,22,84.6 ,2,7.7 ,2,7.7 ,,
2,0,青森,Ⅱ,1961～1975,10,33.3 ,15,50.0 ,5,16.7 ,,
2,0,青森,Ⅲ,1976～1990,9,30.0 ,13,43.3 ,8,26.7 ,,
2,0,青森,Ⅳ,1991～2005,3,10.0 ,6,20.0 ,21,70.0 ,○,
2,0,青森,Ⅴ,2006～2019,4,14.3 ,1,3.6 ,23,82.1 ,,
2,0,青森,計,計,48,33.3 ,37,25.7 ,59,41.0 ,,
3,0,岩手,Ⅰ,1948～1960,18,69.2 ,6,23.1 ,2,7.7 ,,
3,0,岩手,Ⅱ,1961～1975,17,56.7 ,8,26.7 ,5,16.7 ,,
3,0,岩手,Ⅲ,1976～1990,15,50.0 ,9,30.0 ,6,20.0 ,,
3,0,岩手,Ⅳ,1991～2005,8,26.7 ,1,3.3 ,21,70.0 ,○,
